Cap_puntaje,Des_puntaje,Nivel_instru,discapacidad,pea,edad,edad_cuadrado,jefe_familia,estado_conyugal,Urbana,vehiculo,sexo
53.24,55.26,Educación superior,1,1,54,2916,1,1,1,0,1
19.73,37.02,Educación superior,0,1,30,900,0,1,1,0,1
25.35,31.54,Educación superior,0,1,28,784,0,0,1,0,1
44.3,44.88,Educación superior,1,1,51,2601,1,1,1,1,1
10.32,25.88,Secundaria completa,0,1,38,1444,1,1,1,1,0
29.28,30.05,Secundaria completa,0,1,24,576,0,1,1,0,1
0,0,Secundaria incompleta,0,1,31,961,1,1,1,0,0
0,0,Educación superior,0,1,53,2809,0,1,1,0,1
45.26,42.7,Educación superior,1,1,56,3136,1,0,1,1,1
46.17,38.7,Educación superior,1,1,30,900,1,0,1,1,1
41.01,36.36,Educación superior,1,1,44,1936,1,1,1,1,0
0,0,Educación superior,0,1,41,1681,1,1,1,1,0
34.63,41.16,Educación superior,0,1,58,3364,1,0,1,0,0
34.63,36.36,Primaria completa,0,1,54,2916,1,0,1,0,0
10.32,9.470000000000001,Educación superior,0,0,29,841,0,1,0,1,1
32.26,42.7,Secundaria completa,0,1,40,1600,1,1,0,0,0
36.58,42.12,Educación superior,0,0,34,1156,0,1,0,0,1
10.32,32.79,Educación superior,0,1,40,1600,1,0,0,0,1
29.28,9.470000000000001,Primaria completa,0,1,60,3600,1,1,0,1,0
0,9.470000000000001,Secundaria completa,0,1,24,576,1,0,1,0,1
0,0,Secundaria incompleta,0,1,36,1296,0,1,1,0,0
10.32,30.05,Educación superior,0,1,35,1225,1,1,1,0,1
10.32,25.88,Secundaria incompleta,0,1,29,841,0,1,1,1,1
51.02,49,Educación superior,1,1,55,3025,1,1,1,0,1
10.32,32.79,Educación superior,0,0,34,1156,0,1,1,1,1
0,18.01,Educación superior,0,1,29,841,0,0,1,1,1
34.63,42.41,Educación superior,0,0,38,1444,0,0,1,0,1
0,0,Educación superior,0,1,25,625,1,0,1,0,0
0,33.86,Educación superior,0,1,42,1764,1,0,1,1,0
0,22.72,Educación superior,0,0,56,3136,1,1,1,1,0
0,9.470000000000001,Educación superior,0,1,45,2025,1,1,1,1,0
0,22.72,Primaria completa,0,0,56,3136,1,0,1,0,1
0,0,Secundaria completa,0,1,29,841,1,0,1,1,1
39.71,40.04,Secundaria incompleta,0,1,20,400,0,0,1,0,0
10.32,25.88,Secundaria incompleta,0,0,37,1369,0,1,0,0,1
10.32,28.22,Educación superior,0,0,21,441,0,0,1,0,1
19.73,38.18,Educación superior,0,1,33,1089,0,1,0,0,1
0,0,Educación superior,0,0,49,2401,0,1,1,0,1
10.32,37.63,Educación superior,0,1,38,1444,1,0,1,0,1
0,0,Educación superior,0,1,36,1296,1,1,1,1,0
0,30.05,Secundaria incompleta,0,1,50,2500,1,0,1,0,0
29.28,40.8,Educación superior,0,0,62,3844,1,1,1,0,1
10.32,25.88,Educación superior,0,1,35,1225,1,1,1,0,0
0,0,Educación superior,0,1,35,1225,0,0,1,1,1
0,0,Secundaria incompleta,0,0,28,784,0,1,0,1,1
10.32,0,Secundaria completa,0,1,55,3025,1,0,1,0,0
19.73,33.86,Primaria completa,0,1,34,1156,1,0,1,0,0
10.32,31.54,Primaria completa,0,1,41,1681,1,0,0,0,0
29.28,39.17,Educación superior,0,0,39,1521,0,1,1,0,1
19.73,38.18,Educación superior,0,1,42,1764,1,0,1,0,1
19.73,37.63,Secundaria completa,0,1,38,1444,1,1,0,0,0
25.35,22.72,Primaria completa,0,1,59,3481,1,0,0,0,0
34.63,41.81,Educación superior,0,1,48,2304,1,1,1,1,0
10.32,28.22,Educación superior,0,0,41,1681,0,1,1,0,1
10.32,30.05,Secundaria completa,0,1,28,784,1,1,1,1,0
19.73,31.54,Educación superior,0,1,55,3025,0,1,1,0,1
32.26,39.17,Educación superior,0,0,18,324,0,0,1,0,0
10.32,25.88,Secundaria incompleta,0,1,44,1936,1,1,1,1,0
0,0,Educación superior,0,1,38,1444,0,1,1,0,1
32.26,40.04,Secundaria incompleta,0,1,21,441,0,0,1,0,0
0,32.79,Educación superior,0,0,64,4096,1,0,1,1,1
0,0,Educación superior,0,1,63,3969,0,1,0,0,0
25.35,41.81,Educación superior,0,1,32,1024,0,1,1,0,1
0,0,Secundaria completa,0,1,48,2304,0,1,1,0,0
0,9.470000000000001,Primaria completa,0,1,43,1849,1,0,0,0,0
10.32,39.17,Secundaria completa,0,1,50,2500,1,0,0,0,1
0,0,Educación superior,0,1,53,2809,1,1,0,0,0
10.32,30.05,Educación superior,0,1,33,1089,1,1,1,0,0
72.01000000000001,50.4,Educación superior,1,0,50,2500,0,1,0,0,1
29.28,34.79,Secundaria completa,0,1,24,576,0,0,0,1,1
19.73,30.05,Educación superior,0,1,33,1089,1,1,0,0,0
29.28,40.8,Educación superior,0,1,32,1024,1,0,0,1,1
36.58,41.16,Educación superior,0,1,33,1089,0,1,1,1,1
34.63,9.470000000000001,Primaria completa,0,1,42,1764,1,0,1,1,0
0,18.01,Educación superior,0,1,58,3364,1,1,1,0,0
29.28,31.54,Secundaria completa,0,1,35,1225,1,1,1,1,0
19.73,30.05,Primaria incompleta,0,1,53,2809,1,0,1,0,1
42.19,42.12,Educación superior,1,0,64,4096,1,0,1,0,1
43.28,47,Educación superior,1,1,40,1600,0,1,1,1,1
0,18.01,Secundaria completa,0,1,28,784,0,1,1,1,1
29.28,28.22,Secundaria incompleta,0,0,63,3969,0,1,1,0,1
0,0,Educación superior,0,1,28,784,1,0,1,1,1
42.19,44.88,Secundaria incompleta,1,0,50,2500,0,1,1,0,1
60.69,43.49,Secundaria incompleta,1,1,50,2500,1,1,1,1,0
19.73,30.25,Primaria completa,0,1,58,3364,1,0,0,1,0
0,34.79,Secundaria incompleta,0,1,40,1600,1,0,1,1,0
0,22.72,Secundaria completa,0,1,32,1024,1,0,0,1,0
29.28,38.18,Educación superior,0,1,33,1089,1,0,1,1,1
0,22.72,Secundaria completa,0,1,35,1225,1,0,1,1,0
0,0,Secundaria completa,0,1,45,2025,1,0,1,1,0
10.32,22.72,Primaria completa,0,1,48,2304,1,0,1,0,0
29.28,34.79,Secundaria completa,0,1,39,1521,0,0,1,1,0
0,0,Secundaria incompleta,0,1,25,625,1,0,1,0,1
0,0,Secundaria incompleta,0,1,23,529,1,1,1,0,1
46.17,39.17,Educación superior,1,0,44,1936,0,0,1,0,0
10.32,9.470000000000001,Secundaria incompleta,0,1,45,2025,1,1,0,0,0
19.73,38.7,Primaria completa,0,1,49,2401,1,1,1,0,0
0,0,Educación superior,0,1,53,2809,1,1,1,0,0
0,31.54,Secundaria completa,0,0,31,961,0,1,1,0,1
36.58,42.97,Primaria completa,0,1,44,1936,1,0,1,1,0
10.32,18.01,Primaria completa,0,1,48,2304,1,0,1,0,0
0,9.470000000000001,Primaria completa,0,1,44,1936,1,0,1,0,0
10.32,36.36,Secundaria incompleta,0,0,27,729,0,1,1,1,1
0,18.01,Secundaria incompleta,0,1,41,1681,1,0,0,1,0
0,0,Primaria incompleta,0,1,36,1296,1,0,0,1,0
19.73,30.05,Secundaria completa,0,1,25,625,1,1,1,0,1
19.73,25.88,Educación superior,0,1,52,2704,1,0,0,1,1
0,0,Sin nivel de instrucción,0,1,51,2601,1,0,0,0,0
10.32,18.01,Primaria completa,0,1,40,1600,0,0,1,1,0
49.48,47.86,Secundaria incompleta,1,1,55,3025,1,1,1,1,0
0,0,Educación superior,0,1,56,3136,1,0,0,1,0
42.19,44.21,Educación superior,1,1,41,1681,0,0,1,0,1
10.32,18.01,Secundaria completa,0,1,36,1296,1,1,1,0,0
44.3,42.12,Educación superior,1,1,26,676,0,0,1,0,1
19.73,34.79,Secundaria incompleta,0,1,48,2304,1,1,1,1,0
19.73,25.88,Educación superior,0,1,28,784,0,1,1,1,1
32.26,38.18,Educación superior,0,0,25,625,0,0,1,1,0
39.71,40.04,Secundaria completa,0,1,62,3844,1,1,1,0,0
25.35,32.79,Primaria completa,0,1,37,1369,1,1,1,0,0
10.32,40.8,Educación superior,0,1,31,961,0,0,1,1,1
10.32,9.470000000000001,Educación superior,0,1,59,3481,1,0,0,0,0
36.58,22.72,Secundaria incompleta,0,0,64,4096,0,1,1,1,1
25.35,33.86,Educación superior,0,1,56,3136,1,1,0,1,0
0,18.01,Secundaria incompleta,0,1,40,1600,0,1,1,0,0
29.28,36.36,Secundaria incompleta,0,1,29,841,1,1,0,1,1
42.19,45.7,Primaria incompleta,1,1,41,1681,1,0,1,1,1
0,0,Educación superior,0,1,32,1024,1,0,1,1,1
0,25.88,Primaria completa,0,1,63,3969,0,1,0,0,0
10.32,18.01,Secundaria incompleta,0,1,54,2916,0,1,0,0,1
0,0,Educación superior,0,1,54,2916,1,1,1,0,0
10.32,0,Educación superior,0,1,24,576,0,0,1,0,1
19.73,32.79,Educación superior,0,0,64,4096,0,1,1,1,1
0,18.01,Educación superior,0,1,29,841,1,1,0,1,1
50.26,42.41,Secundaria incompleta,1,1,54,2916,0,1,1,0,1
19.73,41.49,Secundaria incompleta,0,1,39,1521,1,1,1,1,0
19.73,34.79,Primaria completa,0,1,36,1296,0,1,1,1,1
0,28.22,Educación superior,0,1,30,900,1,0,1,0,1
0,18.01,Educación superior,0,1,37,1369,1,0,1,1,1
19.73,18.01,Secundaria completa,0,1,37,1369,0,1,1,0,1
19.73,40.43,Educación superior,0,1,45,2025,0,1,0,0,1
0,0,Educación superior,0,0,35,1225,0,1,1,0,1
10.32,22.72,Educación superior,0,0,32,1024,0,1,1,1,1
10.32,0,Educación superior,0,1,60,3600,0,1,1,0,1
19.73,9.470000000000001,Secundaria completa,0,1,27,729,0,0,0,0,0
25.35,39.62,Secundaria incompleta,0,1,30,900,0,0,1,0,1
25.35,31.54,Educación superior,0,1,31,961,0,0,1,0,1
39.71,41.16,Educación superior,0,1,25,625,1,0,1,1,0
32.26,39.17,Primaria completa,0,1,46,2116,1,0,0,0,1
45.26,41.49,Secundaria completa,1,1,53,2809,1,1,1,0,0
32.26,37.63,Educación superior,0,1,48,2304,0,1,1,1,1
25.35,42.41,Secundaria completa,0,1,53,2809,0,1,1,0,0
44.3,42.7,Educación superior,1,1,36,1296,1,0,0,0,1
45.26,31.54,Secundaria completa,1,1,27,729,1,1,1,1,0
0,0,Educación superior,0,1,34,1156,1,1,0,1,1
32.26,31.54,Educación superior,0,1,35,1225,0,1,1,0,1
43.28,46.46,Primaria completa,1,1,42,1764,0,1,0,1,0
25.35,38.7,Educación superior,0,1,29,841,1,1,1,0,0
32.26,40.43,Secundaria completa,0,1,35,1225,0,1,1,0,0
0,37.63,Secundaria completa,0,1,31,961,0,1,1,0,1
10.32,0,Educación superior,0,1,34,1156,0,1,1,0,1
10.32,33.86,Secundaria incompleta,0,1,25,625,0,1,0,1,1
0,33.86,Secundaria completa,0,1,61,3721,1,0,1,0,1
0,9.470000000000001,Educación superior,0,1,36,1296,1,0,1,1,1
19.73,34.79,Secundaria completa,0,1,37,1369,0,1,1,0,1
0,0,Primaria completa,0,0,52,2704,1,0,0,1,1
43.28,45.89,Secundaria completa,1,1,27,729,1,0,1,0,0
19.73,38.18,Secundaria incompleta,0,1,24,576,1,1,1,1,0
0,9.470000000000001,Secundaria completa,0,1,44,1936,0,0,1,1,1
32.26,40.43,Educación superior,0,1,35,1225,0,0,1,1,0
0,0,Secundaria incompleta,0,1,30,900,0,0,1,0,0
25.35,35.62,Educación superior,0,1,36,1296,0,0,1,0,1
43.28,41.81,Educación superior,1,1,34,1156,0,1,1,0,1
10.32,28.22,Educación superior,0,1,37,1369,0,0,1,1,0
0,32.79,Secundaria completa,0,1,27,729,1,1,1,1,0
25.35,32.79,Secundaria incompleta,0,1,31,961,1,1,0,0,0
0,0,Secundaria completa,0,1,35,1225,0,0,1,0,0
34.63,39.17,Educación superior,0,1,38,1444,1,0,1,0,1
19.73,37.63,Educación superior,0,1,37,1369,0,0,1,0,0
0,39.62,Primaria incompleta,0,1,64,4096,0,1,1,1,1
32.26,40.8,Educación superior,0,1,30,900,0,0,1,1,0
10.32,28.22,Educación superior,0,1,55,3025,0,0,1,1,1
19.73,18.01,Secundaria incompleta,0,1,39,1521,0,0,1,1,0
19.73,22.72,Secundaria completa,0,1,58,3364,0,1,1,0,1
19.73,34.79,Primaria completa,0,1,52,2704,0,1,1,0,1
19.73,22.72,Educación superior,0,1,47,2209,1,1,1,0,0
0,0,Secundaria incompleta,0,1,34,1156,1,1,1,0,0
10.32,25.88,Primaria completa,0,1,29,841,1,0,0,0,0
25.35,33.86,Educación superior,0,0,56,3136,0,1,1,0,1
34.63,40.04,Secundaria completa,0,1,58,3364,1,0,1,0,0
32.26,34.79,Secundaria completa,0,1,21,441,0,0,1,1,1
0,22.72,Educación superior,0,0,63,3969,1,1,1,0,0
10.32,18.01,Educación superior,0,1,60,3600,1,1,1,0,1
0,0,Secundaria incompleta,0,1,21,441,0,0,1,0,0
34.63,42.7,Educación superior,0,1,32,1024,1,1,0,0,0
34.63,31.54,Educación superior,0,0,54,2916,0,1,0,0,1
48.69,44.66,Educación superior,1,1,45,2025,0,1,1,0,1
10.32,0,Educación superior,0,1,34,1156,0,1,0,0,1
10.32,30.05,Educación superior,0,1,35,1225,0,1,1,0,1
34.63,42.12,Educación superior,0,1,62,3844,1,1,1,0,0
19.73,0,Educación superior,0,0,65,4225,0,0,1,0,0
0,33.86,Educación superior,0,1,55,3025,1,0,0,0,1
10.32,22.72,Educación superior,0,1,34,1156,0,1,1,0,0
25.35,37.63,Educación superior,0,1,37,1369,1,0,0,1,1
19.73,31.54,Educación superior,0,1,38,1444,0,1,1,0,1
19.73,37.63,Secundaria completa,0,1,32,1024,0,1,1,0,1
0,18.01,Educación superior,0,1,33,1089,0,1,1,0,1
25.35,0,Educación superior,0,1,30,900,0,1,1,0,1
32.26,32.79,Educación superior,0,1,50,2500,1,0,1,0,0
45.26,46.28,Secundaria completa,1,1,19,361,0,0,1,0,1
19.73,31.54,Secundaria completa,0,1,32,1024,1,0,1,1,1
25.35,32.79,Secundaria incompleta,0,1,24,576,0,1,1,0,0
0,31.54,Educación superior,0,1,24,576,1,1,1,1,0
25.35,37.63,Primaria completa,0,1,42,1764,1,0,0,0,1
19.73,31.54,Educación superior,0,1,53,2809,0,0,1,0,1
32.26,25.88,Secundaria completa,0,0,53,2809,0,0,1,0,1
0,0,Educación superior,0,0,58,3364,0,1,1,0,1
19.73,34.79,Secundaria completa,0,1,40,1600,1,1,1,1,0
29.28,28.22,Primaria completa,0,1,40,1600,1,1,1,0,0
0,22.72,Secundaria incompleta,0,1,58,3364,0,1,1,1,1
10.32,33.86,Educación superior,0,1,43,1849,1,0,1,1,1
38.25,33.86,Educación superior,0,0,21,441,0,0,1,1,0
0,18.01,Primaria completa,0,0,55,3025,0,1,0,0,1
0,0,Secundaria completa,0,1,32,1024,0,0,1,1,0
0,0,Secundaria incompleta,0,1,31,961,1,1,1,0,0
51.77,50.09,Primaria completa,1,1,43,1849,1,1,1,1,1
0,0,Primaria completa,0,1,41,1681,1,1,0,0,0
38.25,41.81,Secundaria completa,0,1,61,3721,1,1,1,0,0
39.71,44.44,Educación superior,0,1,53,2809,1,1,1,0,1
0,18.01,Secundaria incompleta,0,1,39,1521,1,1,1,0,0
0,22.72,Educación superior,0,1,39,1521,1,1,1,0,0
10.32,0,Secundaria completa,0,1,23,529,1,0,1,0,1
0,0,Secundaria incompleta,0,0,45,2025,0,1,0,1,1
50.26,48.52,Primaria completa,1,1,39,1521,1,0,1,1,1
10.32,33.86,Secundaria incompleta,0,1,56,3136,1,0,0,0,1
0,35.62,Educación superior,0,1,33,1089,1,0,1,0,0
0,9.470000000000001,Secundaria incompleta,0,1,59,3481,1,1,1,0,0
19.73,22.72,Secundaria completa,0,1,37,1369,0,1,1,0,1
10.32,37.63,Educación superior,0,1,47,2209,1,0,1,0,1
32.26,18.01,Educación superior,0,1,37,1369,0,1,1,0,1
32.26,36.36,Educación superior,0,1,33,1089,1,1,1,0,0
0,9.470000000000001,Educación superior,0,1,29,841,0,0,1,0,1
25.35,32.79,Secundaria completa,0,1,34,1156,1,0,1,1,1
42.19,38.18,Educación superior,1,1,27,729,1,0,1,1,0
10.32,18.01,Sin nivel de instrucción,0,1,60,3600,1,1,0,0,0
10.32,32.79,Secundaria incompleta,0,0,48,2304,0,1,1,0,1
29.28,34.79,Secundaria completa,0,0,61,3721,0,1,1,0,1
10.32,9.470000000000001,Primaria completa,0,1,55,3025,1,1,0,0,0
19.73,34.79,Educación superior,0,1,28,784,0,1,1,0,1
19.73,36.36,Primaria incompleta,0,1,42,1764,1,0,1,0,0
25.35,37.02,Primaria completa,0,1,44,1936,1,0,0,0,0
29.28,44.88,Primaria incompleta,0,1,46,2116,1,0,0,0,0
25.35,25.88,Primaria completa,0,0,65,4225,1,1,1,1,0
59.09,42.7,Primaria completa,1,1,61,3721,1,0,1,0,1
29.28,40.43,Educación superior,0,1,44,1936,1,1,1,0,0
43.28,41.49,Primaria completa,1,1,21,441,0,0,0,0,0
19.73,34.79,Secundaria incompleta,0,1,60,3600,1,0,1,1,0
10.32,28.22,Primaria completa,0,1,32,1024,1,0,1,0,1
0,0,Educación superior,0,1,30,900,0,0,1,1,0
42.19,43.23,Secundaria completa,1,1,49,2401,0,1,1,1,1
0,0,Educación superior,0,1,26,676,0,1,1,1,1
29.28,39.62,Primaria completa,0,0,58,3364,1,0,1,1,0
0,18.01,Secundaria completa,0,1,46,2116,1,0,1,1,0
25.35,30.05,Educación superior,0,1,42,1764,1,1,1,0,0
0,25.88,Educación superior,0,1,33,1089,1,1,1,0,0
32.26,40.04,Educación superior,0,0,64,4096,0,1,0,0,1
10.32,9.470000000000001,Secundaria completa,0,1,27,729,0,0,1,0,1
36.58,42.12,Educación superior,0,1,28,784,0,1,1,0,1
0,0,Educación superior,0,1,26,676,1,0,0,0,0
10.32,30.05,Primaria completa,0,0,56,3136,0,1,1,0,1
19.73,34.79,Educación superior,0,1,40,1600,1,1,1,0,0
19.73,41.81,Secundaria completa,0,1,30,900,1,1,0,0,0
10.32,33.86,Secundaria incompleta,0,1,24,576,0,1,1,0,1
29.28,32.79,Educación superior,0,1,32,1024,1,1,0,0,0
10.32,0,Educación superior,0,1,28,784,0,0,0,0,0
32.26,34.79,Secundaria completa,0,1,21,441,0,0,0,0,0
0,0,Secundaria completa,0,1,26,676,0,0,0,0,1
10.32,39.62,Educación superior,0,1,47,2209,1,1,0,1,0
19.73,38.7,Educación superior,0,1,24,576,0,0,1,0,0
47.88,47.18,Educación superior,1,0,64,4096,0,1,1,0,1
25.35,38.7,Secundaria incompleta,0,1,39,1521,0,1,1,0,0
10.32,30.05,Educación superior,0,1,40,1600,1,1,1,0,0
10.32,18.01,Educación superior,0,1,43,1849,0,1,1,1,0
32.26,39.17,Educación superior,0,1,45,2025,1,0,1,0,1
59.09,49,Educación superior,1,1,54,2916,0,0,1,0,1
34.63,46.83,Secundaria completa,0,1,40,1600,1,1,1,0,1
0,9.470000000000001,Educación superior,0,1,31,961,0,1,1,0,0
41.01,47.18,Primaria completa,1,0,59,3481,0,1,1,0,1
36.58,40.8,Educación superior,0,1,32,1024,0,1,1,0,1
10.32,33.86,Secundaria completa,0,1,57,3249,1,1,0,0,0
0,9.470000000000001,Primaria completa,0,1,56,3136,1,1,1,1,0
29.28,39.62,Educación superior,0,1,30,900,0,0,1,1,1
0,0,Educación superior,0,1,31,961,0,1,0,0,1
10.32,22.72,Educación superior,0,0,36,1296,0,0,1,0,1
32.26,31.54,Secundaria completa,0,1,51,2601,0,1,1,0,0
0,25.88,Educación superior,0,1,28,784,1,1,0,0,0
19.73,36.36,Secundaria completa,0,0,20,400,0,0,1,0,0
10.32,32.79,Secundaria incompleta,0,0,24,576,0,0,1,0,1
29.28,30.05,Secundaria completa,0,1,34,1156,0,1,1,0,1
25.35,42.97,Educación superior,0,1,46,2116,1,1,0,0,0
0,0,Educación superior,0,0,62,3844,0,1,1,1,1
0,0,Educación superior,0,1,36,1296,1,1,1,0,0
43.28,41.81,Educación superior,1,1,29,841,0,1,1,0,1
19.73,41.16,Educación superior,0,1,32,1024,1,0,1,0,1
25.35,30.05,Primaria completa,0,1,61,3721,1,1,1,0,1
47.04,48.2,Secundaria completa,1,1,58,3364,1,1,1,0,0
25.35,40.04,Educación superior,0,1,34,1156,0,0,1,0,0
10.32,30.05,Educación superior,0,1,60,3600,0,1,1,0,1
36.58,45.09,Educación superior,0,1,50,2500,1,1,1,1,0
0,9.470000000000001,Secundaria incompleta,0,0,58,3364,1,0,0,0,1
10.32,34.79,Secundaria completa,0,1,42,1764,0,1,0,1,0
34.63,41.16,Educación superior,0,1,45,2025,1,1,1,0,0
0,0,Educación superior,0,1,58,3364,1,1,0,0,0
0,18.01,Educación superior,0,1,49,2401,0,1,1,0,0
25.35,38.18,Secundaria incompleta,0,1,49,2401,1,1,0,0,0
46.17,22.72,Secundaria incompleta,1,0,51,2601,1,1,1,0,1
32.26,34.79,Educación superior,0,1,30,900,0,0,1,0,1
10.32,18.01,Secundaria completa,0,1,31,961,1,1,1,0,0
0,0,Educación superior,0,1,44,1936,1,1,1,1,0
0,35.62,Educación superior,0,1,46,2116,0,0,1,0,1
0,25.88,Educación superior,0,0,42,1764,0,1,1,0,1
19.73,18.01,Educación superior,0,1,34,1156,1,1,1,0,0
42.19,37.63,Educación superior,1,1,26,676,0,0,0,0,1
0,0,Educación superior,0,1,31,961,1,1,0,1,1
45.26,46.83,Educación superior,1,1,54,2916,1,0,1,1,1
47.88,45.89,Educación superior,1,1,28,784,0,0,1,1,0
32.26,41.81,Educación superior,0,1,37,1369,0,1,0,1,1
43.28,47,Secundaria completa,1,0,65,4225,1,0,1,1,0
19.73,18.01,Educación superior,0,1,64,4096,0,1,1,0,0
34.63,34.79,Educación superior,0,1,26,676,0,0,1,0,1
10.32,34.79,Secundaria incompleta,0,1,31,961,1,1,1,1,0
10.32,28.22,Secundaria completa,0,1,58,3364,0,1,0,0,0
10.32,28.22,Secundaria incompleta,0,1,63,3969,1,0,0,0,1
25.35,39.62,Educación superior,0,0,64,4096,1,0,1,1,1
47.04,47.18,Educación superior,1,1,48,2304,1,0,1,0,1
0,25.88,Secundaria completa,0,1,50,2500,1,0,1,1,0
32.26,37.02,Educación superior,0,1,39,1521,1,1,1,1,0
29.28,32.79,Educación superior,0,1,27,729,0,1,1,0,1
25.35,36.36,Educación superior,0,1,61,3721,0,1,1,0,0
25.35,38.7,Educación superior,0,0,19,361,0,0,1,0,0
0,22.72,Educación superior,0,1,55,3025,1,0,1,0,1
36.58,43.74,Educación superior,0,1,50,2500,1,0,1,0,0
0,0,Secundaria completa,0,1,32,1024,0,0,1,0,1
0,22.72,Primaria completa,0,1,27,729,0,1,1,1,1
51.02,41.49,Educación superior,1,1,42,1764,0,0,1,0,1
0,0,Educación superior,0,1,33,1089,0,0,1,0,0
0,0,Secundaria completa,0,1,54,2916,0,1,1,1,1
25.35,38.18,Secundaria incompleta,0,0,40,1600,1,1,1,1,0
19.73,32.79,Educación superior,0,1,31,961,1,0,0,0,1
19.73,28.22,Educación superior,0,1,57,3249,1,0,1,0,0
48.69,44.66,Educación superior,1,0,35,1225,1,1,1,0,1
32.26,41.16,Educación superior,0,1,38,1444,0,1,1,0,1
0,18.01,Secundaria completa,0,1,62,3844,1,1,1,1,0
0,18.01,Secundaria completa,0,1,36,1296,1,0,1,0,1
32.26,39.17,Educación superior,0,1,31,961,0,1,1,0,1
0,0,Primaria completa,0,1,58,3364,1,1,0,0,0
10.32,31.54,Educación superior,0,1,53,2809,1,0,1,0,0
10.32,38.18,Educación superior,0,1,44,1936,1,1,0,0,0
10.32,33.86,Primaria completa,0,1,56,3136,1,0,0,0,0
10.32,22.72,Educación superior,0,1,33,1089,1,1,0,0,1
42.19,43.49,Educación superior,1,1,26,676,0,0,0,0,1
0,0,Secundaria incompleta,0,1,27,729,1,1,0,1,0
29.28,33.86,Educación superior,0,1,38,1444,1,0,1,0,1
0,9.470000000000001,Secundaria incompleta,0,1,46,2116,1,0,1,0,1
0,9.470000000000001,Educación superior,0,1,30,900,1,1,1,0,0
10.32,9.470000000000001,Educación superior,0,1,55,3025,1,1,1,1,0
0,28.22,Sin nivel de instrucción,0,1,40,1600,1,1,1,1,0
0,9.470000000000001,Primaria completa,0,1,32,1024,1,0,1,1,1
0,0,Secundaria completa,0,0,30,900,0,1,0,0,1
0,0,Educación superior,0,1,32,1024,1,0,0,0,1
10.32,18.01,Educación superior,0,1,29,841,0,1,0,0,1
10.32,18.01,Secundaria completa,0,1,42,1764,1,1,0,0,0
0,18.01,Educación superior,0,1,25,625,0,0,1,0,1
41.01,45.5,Educación superior,1,0,50,2500,0,1,1,0,1
32.26,34.79,Educación superior,0,1,39,1521,1,1,1,0,1
36.58,43.98,Educación superior,0,1,60,3600,1,0,1,1,1
10.32,22.72,Educación superior,0,1,50,2500,1,0,1,0,1
36.58,39.17,Secundaria completa,0,1,42,1764,1,0,1,0,0
44.3,43.49,Educación superior,1,1,40,1600,1,0,1,0,0
10.32,22.72,Secundaria completa,0,1,54,2916,1,1,1,0,0
0,18.01,Secundaria incompleta,0,1,38,1444,1,0,1,0,0
0,25.88,Secundaria completa,0,1,24,576,0,1,1,0,1
34.63,33.86,Primaria completa,0,1,57,3249,1,0,1,0,1
0,22.72,Educación superior,0,1,33,1089,1,0,1,0,0
32.26,41.81,Educación superior,0,1,64,4096,0,1,1,0,1
38.25,39.17,Educación superior,0,1,39,1521,1,1,1,0,0
51.02,50.09,Educación superior,1,1,44,1936,1,0,1,0,1
0,0,Primaria completa,0,1,65,4225,1,0,1,0,0
10.32,0,Educación superior,0,1,50,2500,1,0,1,0,1
19.73,39.62,Secundaria completa,0,1,32,1024,0,1,1,0,1
0,0,Primaria completa,0,1,55,3025,1,0,0,1,0
10.32,0,Educación superior,0,1,32,1024,1,1,1,0,0
0,0,Educación superior,0,1,34,1156,1,1,1,0,1
10.32,39.17,Educación superior,0,1,43,1849,1,1,0,0,0
39.71,22.72,Educación superior,0,1,62,3844,1,1,1,0,0
0,0,Educación superior,0,1,40,1600,1,0,1,0,1
0,0,Secundaria incompleta,0,0,49,2401,1,1,1,0,1
10.32,18.01,Secundaria completa,0,1,59,3481,1,0,1,0,1
0,9.470000000000001,Secundaria completa,0,1,44,1936,1,0,1,0,0
32.26,36.36,Secundaria completa,0,0,35,1225,1,1,0,1,0
0,9.470000000000001,Secundaria incompleta,0,1,42,1764,1,0,1,1,0
10.32,33.86,Secundaria completa,0,1,31,961,1,0,1,1,1
0,30.05,Educación superior,0,1,31,961,1,0,0,0,0
10.32,22.72,Primaria completa,0,1,20,400,1,0,0,0,0
19.73,32.79,Secundaria completa,0,1,38,1444,1,1,0,0,0
19.73,33.86,Secundaria incompleta,0,1,55,3025,1,0,0,0,0
25.35,31.54,Secundaria incompleta,0,1,42,1764,1,0,1,0,0
0,0,Educación superior,0,1,41,1681,1,0,1,0,1
10.32,0,Educación superior,0,1,60,3600,1,1,1,0,0
0,0,Secundaria completa,0,1,22,484,1,0,1,0,0
38.25,45.3,Educación superior,0,1,27,729,1,0,1,0,1
19.73,22.72,Educación superior,0,1,44,1936,1,0,0,1,1
0,0,Educación superior,0,1,31,961,1,1,1,0,0
19.73,39.17,Primaria incompleta,0,1,51,2601,1,0,0,0,0
0,28.22,Educación superior,0,1,30,900,1,1,1,0,0
42.19,37.63,Secundaria incompleta,1,1,32,1024,1,0,1,0,1
25.35,36.36,Secundaria completa,0,1,35,1225,0,1,1,1,0
10.32,9.470000000000001,Secundaria completa,0,1,58,3364,1,0,1,0,0
29.28,28.22,Secundaria incompleta,0,0,45,2025,0,1,1,1,1
10.32,30.05,Educación superior,0,1,29,841,0,1,0,0,1
